"","EstID","Company.x","State","Zip","Company.y","Size2","Beef_Slaughter","Pork_Slaughter","Chicken_Slaughter","Catfish_Products","Egg_Products","StateName"
"3418",12706,"La Terra Fina USA, LLC","CA","94578","La Terra Fina USA, LLC","Small",FALSE,NA,NA,NA,NA,"California"
"3419",12708,"Patton's Sausage Company, Inc.","LA","70427","Patton's Sausage Company, Inc.","Small",FALSE,NA,NA,NA,NA,"Louisiana"
"3420",12713,"Cruz Best Foods","GU","96929","Cruz Best Foods","Small",FALSE,NA,NA,NA,NA,NA
"3421",12718,"Tipico Food Inc.","CA","90249","Tipico Food Inc.","Small",FALSE,NA,NA,NA,NA,"California"
"3422",12731,"Huismann's Poultry","OH","45030","Huismann's Poultry","Small",FALSE,NA,NA,NA,NA,"Ohio"
"3423",12739,"Sharpy's Food Systems, LLC.","OH","44146","Sharpy's Food Systems, LLC.","Small",FALSE,NA,NA,NA,NA,"Ohio"
"3424",12746,"Harvest Food Group","IL","60632","Harvest Food Group","Large",FALSE,NA,NA,NA,NA,"Illinois"
"3425",12751,"Stanley's Market Brands LLC","OH","43612","Stanley's Market Brands LLC","Small",FALSE,NA,NA,NA,NA,"Ohio"
"3426",12753,"Saugatuck Kitchens, LLC","CT","06615","Saugatuck Kitchens, LLC","Small",FALSE,NA,NA,NA,NA,"Connecticut"
"3427",12754,"CAFE SPICE LLC","NY","12553","CAFE SPICE LLC","Small",FALSE,NA,NA,NA,NA,"New York"
"3428",12756,"4 & 20 Pasty Company","FL","34231","4 & 20 Pasty Company","Small",FALSE,NA,NA,NA,NA,"Florida"
"3429",12758,"Chisesi Brothers Meat Packing Company","LA","70123","Chisesi Brothers Meat Packing Company","Small",FALSE,NA,NA,NA,NA,"Louisiana"
"3430",12759,"Shin Provision, Inc.","IL","60804","Shin Provision, Inc.","Small",FALSE,NA,NA,NA,NA,"Illinois"
"3431",12761,"Ohio Farms Packing Co., Ltd","OH","44217","Ohio Farms Packing Co., Ltd","Small",TRUE,NA,NA,NA,NA,"Ohio"
"3432",12762,"KIWI KUISINE","VA","22304","KIWI KUISINE","Small",FALSE,NA,NA,NA,NA,"Virginia"
